"gene","cell_type","log2FC","pvalue","padj","significance","category"
"PARD6B","Rods",0.464268835487594,0.525151777355114,0.948765861171729,"NS","Polarity_Complex"
"CRB1","Rods",0.26441865849995,0.0521078840169112,0.481232822004077,"NS","Polarity_Complex"
"MPDZ","Rods",-0.0290777177054858,0.843212704899602,0.987796476640398,"NS","Polarity_Complex"
"TJP1","Rods",-0.517477646240636,4.24026397205263e-05,0.00504089876075418,"padj < 0.05","Tight_Junctions"
"TJP2","Rods",0.289929191472686,0.0655982640780564,0.531567293241086,"NS","Tight_Junctions"
"JAM2","Rods",0.246545666416213,0.217764055215127,0.805486582287869,"NS","Tight_Junctions"
"JAM3","Rods",0.589456620392102,0.0749619584399982,0.555937621414267,"NS","Tight_Junctions"
"VIM","Rods",-0.166580497394651,0.463876325490208,0.930145651968443,"NS","Cytoskeleton"
"EZR","Rods",0.892745311824391,0.09446671302035,0.628036066838839,"NS","Cytoskeleton"
"RDX","Rods",0.30731780033474,0.0521713969921023,0.481232822004077,"NS","Cytoskeleton"
"CFL2","Rods",0.418767213965986,0.0967596322163343,0.632254428950232,"NS","Cytoskeleton"
"GLUL","Rods",-0.0886513595051474,0.841318797504541,0.987796476640398,"NS","Glial_Function"
"RLBP1","Rods",-0.030381769535447,0.952690758509468,0.997086818411061,"NS","Glial_Function"
"SLC1A2","Rods",0.109383282302662,0.370054737129072,0.889593454361248,"NS","Glial_Function"
"CRACR2A","Rods",-0.30079458230956,0.744354231794521,0.978329384649027,"NS","Calcium_Signaling"
"HSP90AB1","Rods",0.642638593572864,1.14695412675171e-05,0.00178601758103759,"padj < 0.05","Chaperones"
"HSP90AA1","Rods",0.292808513717343,0.0333667530156928,0.390373355916931,"p < 0.05","Chaperones"
"HSP90B1","Rods",0.346957002134295,0.0217112488116653,0.308931231482332,"p < 0.05","Chaperones"
"HSPA5","Rods",0.120192598774917,0.637624673066911,0.964559572924784,"NS","Chaperones"
"HSPD1","Rods",0.565602370920042,0.0122448448515558,0.225256247385692,"p < 0.05","Chaperones"
"CLU","Rods",-0.324875936933368,0.18314501904381,0.769041262992398,"NS","Chaperones"
"CANX","Rods",-0.0124932867084916,0.931466749049951,0.996930355687362,"NS","Chaperones"
"PDIA3","Rods",0.290061722270404,0.121450214840054,0.68403136794276,"NS","Chaperones"
"ERBB4","Rods",-0.898803099719043,0.0110166049461854,0.214435887825749,"p < 0.05","Survival_Signaling"
"CD63","Cones",-0.799517362959026,0.519868540626626,NA,"NS","Tetraspanins"
"TSPAN7","Cones",0.581351318240994,0.0628934046439784,0.536272861390247,"NS","Tetraspanins"
"TSPAN3","Cones",0.629418613080243,0.163660570800388,0.74911744748611,"NS","Tetraspanins"
"TSPAN5","Cones",0.36241324478405,0.437878584761978,0.946088412746006,"NS","Tetraspanins"
"CTNNA1","Cones",-0.316932278475771,0.36215712016055,0.925055371319183,"NS","Catenins"
"CTNNA2","Cones",-1.50012673969225,0.137027425076716,NA,"NS","Catenins"
"CTNNB1","Cones",-0.104135229840204,0.879152094768773,NA,"NS","Catenins"
"CTNND1","Cones",-0.878836057148797,0.512455773898476,NA,"NS","Catenins"
"CDH2","Cones",-0.560579450587569,0.296477231011259,0.865172834341328,"NS","Cadherins"
"PCDH15","Cones",-0.450374969282955,0.00135565992731142,0.0430348155077958,"padj < 0.05","Cadherins"
"PARD3","Cones",-0.736081231716915,0.0730968014012325,0.572664199890186,"NS","Polarity_Complex"
"CRB1","Cones",-0.365545169969508,0.165219674750712,0.74911744748611,"NS","Polarity_Complex"
"MPDZ","Cones",-0.117594989809114,0.720946826702047,0.963127991719858,"NS","Polarity_Complex"
"TJP1","Cones",0.162412597849153,0.627130381321996,0.955817331838313,"NS","Tight_Junctions"
"TJP2","Cones",1.03699356279254,0.0685636446065921,0.559291342899741,"NS","Tight_Junctions"
"JAM2","Cones",0.439372933601421,0.485214100842511,NA,"NS","Tight_Junctions"
"JAM3","Cones",-0.69893450774264,0.188628036378474,0.780390197654524,"NS","Tight_Junctions"
"VIM","Cones",-0.116670355940815,0.877228004624077,NA,"NS","Cytoskeleton"
"RDX","Cones",0.330440538720296,0.396346719185512,0.930030367550831,"NS","Cytoskeleton"
"CFL2","Cones",-0.055005774724598,0.943316535983481,NA,"NS","Cytoskeleton"
"RLBP1","Cones",1.69494043760094,0.291509843130383,NA,"NS","Glial_Function"
"SLC1A2","Cones",-0.427554654850586,0.0242590607939845,0.33766410607026,"p < 0.05","Glial_Function"
"HSP90AB1","Cones",0.386679443745374,0.447498254666639,0.946088412746006,"NS","Chaperones"
"HSP90AA1","Cones",0.571946949903931,0.0692807800365829,0.560620072056029,"NS","Chaperones"
"HSP90B1","Cones",0.0998388795171394,0.819355061456285,0.982952755402239,"NS","Chaperones"
"HSPA5","Cones",0.170151333247872,0.826355638343435,NA,"NS","Chaperones"
"HSPD1","Cones",0.396671804551738,0.629232978302102,NA,"NS","Chaperones"
"CLU","Cones",-0.608415215255513,0.620775310431574,NA,"NS","Chaperones"
"CANX","Cones",-0.0729248399129266,0.892388365653399,0.991923991053201,"NS","Chaperones"
"PDIA3","Cones",-0.606866275482279,0.392144428701218,NA,"NS","Chaperones"
"ERBB4","Cones",1.52280491552586,0.324152603561078,NA,"NS","Survival_Signaling"
"CD63","Amacrine",1.57727347311086,3.6248188723837e-05,0.00317930451170786,"padj < 0.05","Tetraspanins"
"TSPAN7","Amacrine",0.637615004873408,0.00100975642035101,0.039547760659637,"padj < 0.05","Tetraspanins"
"TSPAN3","Amacrine",0.235329057178996,0.488642071192684,0.86749851456265,"NS","Tetraspanins"
"TSPAN5","Amacrine",-0.161665248097201,0.488529357885461,0.86749851456265,"NS","Tetraspanins"
"TSPAN14","Amacrine",-0.0747287911755413,0.921575679943518,NA,"NS","Tetraspanins"
"TSPAN15","Amacrine",0.446997867886081,0.44979135995651,0.851359349282678,"NS","Tetraspanins"
"CTNNA1","Amacrine",0.262800729889915,0.306605800517711,0.759769834165033,"NS","Catenins"
"CTNNA2","Amacrine",-0.356133460447815,0.0220128584827471,0.262183001033316,"p < 0.05","Catenins"
"CTNNB1","Amacrine",0.662931556325312,0.0513679834185575,0.382652515920736,"NS","Catenins"
"CTNND1","Amacrine",-0.181759373844113,0.77789780672253,NA,"NS","Catenins"
"CDH2","Amacrine",-0.34439642952088,0.230553958262669,0.685221820087932,"NS","Cadherins"
"CDH18","Amacrine",-0.637532678292379,0.00122621615951398,0.0452495026724696,"padj < 0.05","Cadherins"
"CDH23","Amacrine",-0.564234184144281,0.475780317247099,NA,"NS","Cadherins"
"PCDH15","Amacrine",-0.717290829151497,0.204132908859525,0.660174513758464,"NS","Cadherins"
"PARD3","Amacrine",-0.14809294898189,0.672050408858804,0.93358288133975,"NS","Polarity_Complex"
"PARD3B","Amacrine",-1.81551209118877,0.01272069402465,NA,"p < 0.05","Polarity_Complex"
"PARD6A","Amacrine",0.395126889010977,0.619156776499796,NA,"NS","Polarity_Complex"
"CRB1","Amacrine",-0.771627383117079,0.0756338891727675,0.45508647358996,"NS","Polarity_Complex"
"MPDZ","Amacrine",-0.120503844630288,0.693116079413261,0.939858337080343,"NS","Polarity_Complex"
"TJP1","Amacrine",-0.26086237853393,0.136592366216571,0.574565929571593,"NS","Tight_Junctions"
"TJP2","Amacrine",-0.115870727433559,0.829330383099344,0.966835079283944,"NS","Tight_Junctions"
"JAM2","Amacrine",0.0803662474288972,0.923403596944059,NA,"NS","Tight_Junctions"
"JAM3","Amacrine",-0.245133790894799,0.605622188118126,0.920785091513726,"NS","Tight_Junctions"
"VIM","Amacrine",0.767202694849165,0.0324719183026022,0.311262352017736,"p < 0.05","Cytoskeleton"
"RDX","Amacrine",0.515731883833922,0.0697877419684527,0.437980985916524,"NS","Cytoskeleton"
"CFL2","Amacrine",0.517082868492838,0.144301949847843,0.583422196218259,"NS","Cytoskeleton"
"GLUL","Amacrine",0.0611028346461869,0.897539055835943,0.98114543363984,"NS","Glial_Function"
"RLBP1","Amacrine",0.0262569120366896,0.979016876333689,NA,"NS","Glial_Function"
"SLC1A2","Amacrine",-0.37547698372198,0.28113621208837,0.738517272590204,"NS","Glial_Function"
"CRACR2A","Amacrine",3.06444919823583,0.0423610555253307,NA,"p < 0.05","Calcium_Signaling"
"HSP90AB1","Amacrine",1.79274540085056,1.38980156434652e-22,8.87249318678816e-19,"padj < 0.05","Chaperones"
"HSP90AA1","Amacrine",1.46949426609358,3.75334369533946e-15,5.99033653776177e-12,"padj < 0.05","Chaperones"
"HSP90B1","Amacrine",1.37718218353676,2.24002825861661e-14,2.38339006716807e-11,"padj < 0.05","Chaperones"
"HSPA5","Amacrine",1.21959685949333,5.1684520423371e-06,0.000646968585064314,"padj < 0.05","Chaperones"
